player,action,time_stamp
player2,SpawnPart,0.023669302654803492
player2,SpawnPart,0.05765475975253012
player2,SpawnPart,0.15528041929948427
player1,SpawnPart,0.25585291759998446
player2,SpawnPart,0.27261908945697577
player2,TeleportPart,0.3044650513975484
player4,SpawnPart,0.3966581394865125
player3,SpawnPart,0.4493244666064491
player4,SpawnPart,0.5146180650518271
player2,TeleportPart,0.5246489019718313
player1,SpawnPart,0.7312751301165374
player3,SpawnPart,0.7360799498836288
player1,SpawnPart,1.0154998750626767
player2,Assemble,1.0567700519360599
player3,TeleportPart,1.142696207873248
player2,TeleportPart,1.181766776096123
player2,Assemble,1.2266196196665362
player2,TeleportPart,1.2439719235733182
player1,SpawnPart,1.2569510822353274
player2,Assemble,1.5621923320466153
player1,SpawnPart,1.609698875445008
player2,SpawnPart,1.6127516107298983
player3,TeleportPart,1.6237449339010528
player2,SpawnPart,1.7096922838185757
player4,SpawnPart,2.0814401009484724
player1,SpawnPart,2.227119837975738
player1,SpawnPart,2.3294616407871356
player2,SpawnPart,2.3296878823588796
player2,SpawnPart,2.4241838823743964
player4,SpawnPart,2.538721008482335
player3,Assemble,2.6494721820905136
player3,SpawnPart,2.9026005131237227
player3,SpawnPart,2.9146118100284797
player2,TeleportPart,2.9577890337149686
player3,TeleportPart,3.1466226034408336
player3,TeleportPart,3.19318020889012
player1,TeleportPart,3.2261720597341452
player4,SpawnPart,3.5556174110918635
player4,SpawnPart,3.5871129189071413
player3,Assemble,3.6564062084480313
player1,TeleportPart,3.7457062171111053
player3,SpawnPart,3.758688822698312
player2,TeleportPart,3.887184298810082
player2,Assemble,4.045090665117175
player3,SpawnPart,4.0494299197659895
player1,Assemble,4.075327001941682
player2,TeleportPart,4.088318282071994
player2,Assemble,4.147574275370681
player3,TeleportPart,4.231494655285632
player1,TeleportPart,4.2893430917593705
player3,TeleportPart,4.367852251423291
player4,SpawnPart,4.513311263934964
player2,TeleportPart,4.603641987371333
player2,Assemble,4.762386085853442
player4,TeleportPart,4.845288770399291
player3,Assemble,4.858811620030683
player3,SpawnPart,4.943139303075198
player4,TeleportPart,5.009112848575582
player1,TeleportPart,5.010386596059527
player3,SpawnPart,5.148175464067482
player4,Assemble,5.339135046507339
player4,TeleportPart,5.352806254480701
player2,SpawnPart,5.378809720067878
player3,TeleportPart,5.397310823807702
player1,Assemble,5.423743126520515
player4,Assemble,5.473871753713023
player4,TeleportPart,5.556231137344732
player2,SpawnPart,5.6215579254146295
player3,TeleportPart,5.6529728079904595
player2,SpawnPart,5.740435187032609
player4,Assemble,5.761220834110365
player2,SpawnPart,5.873886458385235
player2,TeleportPart,5.888219360419572
player3,Assemble,5.9637860421815745
player3,SpawnPart,6.000447172524878
player2,TeleportPart,6.116070271265493
player3,SpawnPart,6.124584437740057
player3,TeleportPart,6.157074192400817
player4,TeleportPart,6.24236191835414
player2,Assemble,6.244523809070109
player3,TeleportPart,6.3277342485609
player2,TeleportPart,6.444080960422319
player1,TeleportPart,6.628354916648599
player2,Assemble,6.684663510210474
player2,TeleportPart,6.697737670181714
player2,Assemble,6.871236627274045
player3,Assemble,6.992160385787892
player4,Assemble,7.065859402821899
player2,SpawnPart,7.066761012105768
player1,Assemble,7.0784393744482
player3,SpawnPart,7.112900356966543
player4,TeleportPart,7.151756676202942
player3,SpawnPart,7.2279247435957465
player2,SpawnPart,7.273813447649299
player3,TeleportPart,7.327317030368779
player2,SpawnPart,7.370406829014335
player4,Assemble,7.399034401278935
player2,SpawnPart,7.423231340153991
player2,TeleportPart,7.478190827991039
player3,TeleportPart,7.501658711099858
player4,TeleportPart,7.502376191171522
player3,Assemble,7.518150444705768
player1,Assemble,7.528903132958412
player3,SpawnPart,7.769312118049391
player3,SpawnPart,7.78637478498831
player2,TeleportPart,7.872095822942492
player3,TeleportPart,7.919958960151693
player4,Assemble,7.922469431214325
player3,TeleportPart,7.923982714888362
player3,Assemble,8.069704487906687
player2,Assemble,8.169771032470177
player3,SpawnPart,8.197248692337988
player3,SpawnPart,8.30716426893903
player2,TeleportPart,8.34756191764695
player3,TeleportPart,8.412620108075894
player3,TeleportPart,8.477046480019084
player1,TeleportPart,8.484778893867164
player2,Assemble,8.520938578116755
player3,Assemble,8.530043720100862
player4,SpawnPart,8.552752841441883
player4,SpawnPart,8.675213783555215
player2,TeleportPart,8.702366656189042
